name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
Myu Bar at Gilly's Redefined,No,Yes,4.4,1213,Koramangala 4th Block,"Microbrewery, Bar",Pizza,1200,Pubs and bars
Myu Bar at Gilly's Redefined,No,Yes,4.4,1213,Koramangala 4th Block,"Microbrewery, Bar",Continental,1200,Pubs and bars
Myu Bar at Gilly's Redefined,No,Yes,4.4,1213,Koramangala 4th Block,"Microbrewery, Bar",Italian,1200,Pubs and bars
Bob's Bar,No,No,3.7,0,Koramangala 7th Block,"Bar, Casual Dining",South Indian,1000,Pubs and bars
Harry's Bar + Cafe,Yes,Yes,4.2,1365,Koramangala 7th Block,"Casual Dining, Bar",American,1400,Pubs and bars
Nandhana Palace,No,Yes,4.1,771,Koramangala 4th Block,"Casual Dining, Bar",North Indian,800,Pubs and bars
Nandhana Palace,No,Yes,4.1,771,Koramangala 4th Block,"Casual Dining, Bar",Chinese,800,Pubs and bars
Sathya's,No,Yes,4.1,759,Koramangala 3rd Block,Bar,North Indian,1200,Pubs and bars
Sathya's,No,Yes,4.1,759,Koramangala 3rd Block,Bar,Chinese,1200,Pubs and bars
52 Wall Street,No,No,3.9,738,Koramangala 6th Block,"Bar, Casual Dining",American,1400,Pubs and bars
52 Wall Street,No,No,3.9,738,Koramangala 6th Block,"Bar, Casual Dining",Continental,1400,Pubs and bars
Sutra Spice-The Resto Bar,No,No,3.9,31,Koramangala 4th Block,Bar,South Indian,1000,Pubs and bars
JukeBox,No,Yes,3.9,281,Koramangala 7th Block,"Casual Dining, Bar",Continental,1000,Pubs and bars
JukeBox,No,Yes,3.9,281,Koramangala 7th Block,"Casual Dining, Bar",Chinese,1000,Pubs and bars
JukeBox,No,Yes,3.9,281,Koramangala 7th Block,"Casual Dining, Bar",North Indian,1000,Pubs and bars
JukeBox,No,Yes,3.9,281,Koramangala 7th Block,"Casual Dining, Bar",Italian,1000,Pubs and bars
Barcode,No,Yes,3.8,169,Koramangala 4th Block,Bar,South Indian,1300,Pubs and bars
Barcode,No,Yes,3.8,169,Koramangala 4th Block,Bar,North Indian,1300,Pubs and bars
Daawat Restaurant Bar & Pub,Yes,No,3.5,9,Koramangala 7th Block,"Bar, Casual Dining",North Indian,700,Pubs and bars
