name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
Sidewalk Cafe - Nahar's Heritage Hotel,No,No,3.9,136,St. Marks Road,Casual Dining,Fast Food,800,Delivery
Haji Ali Juice Centre,No,No,3.8,22,MG Road,"Beverage Shop, Quick Bites",Cafe,350,Delivery
Haji Ali Juice Centre,No,No,3.8,22,MG Road,"Beverage Shop, Quick Bites",Fast Food,350,Delivery
Canopy,No,No,3.0,108,MG Road,Casual Dining,North Indian,800,Delivery
Canopy,No,No,3.0,108,MG Road,Casual Dining,Continental,800,Delivery
Canopy,No,No,3.0,108,MG Road,Casual Dining,Chinese,800,Delivery
Chocolate Philosophy,No,No,3.7,0,Lavelle Road,Dessert Parlor,Desserts,500,Delivery
Natural Ice Cream,No,No,4.2,220,St. Marks Road,Dessert Parlor,Desserts,150,Delivery
Fabcafe,Yes,Yes,4.1,55,MG Road,Cafe,Cafe,800,Delivery
Cafe Coffee Day,Yes,No,2.9,55,Lavelle Road,Cafe,Cafe,650,Delivery
Cafe Coffee Day,Yes,No,2.9,55,Lavelle Road,Cafe,Fast Food,650,Delivery
Ooty Chocolates,Yes,No,3.5,17,Residency Road,Dessert Parlor,Desserts,300,Delivery
